PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CO2,N1bar_CO2,log_D0_CO2,log_D1bar_CO2
11.07263,11.39418,1.029040074,1175.97,0.6096,0.620543281,26.6155324,2.116697654,-3.607301945,-3.851361848
9.50667,11.07211,1.164667544,1172.55,0.60696,0.613756742,26.62702444,2.132419942,-3.536072327,-3.905268849
10.87494,11.21563,1.031327989,1159.15,0.60852,0.617172136,27.18553062,2.068195623,-3.557099372,-3.86853926
4.48972,4.82905,1.075579323,521.72,0.46842,0.40045481,27.03831967,3.36004325,-4.231066565,-6.193122739
3.78436,4.74814,1.254674502,286.858,0.4586,0.352002947,30.7436706,2.009907667,-4.671130217,-5.690590064
8.78636,9.98598,1.136532079,3028.97,0.7058,0.914761777,18.15251628,2.829739134,-3.732837405,-3.877302268
6.10595,6.92762,1.13456874,1008.65,0.59186,0.411511132,30.48220371,6.701011904,-4.494352767,-5.493837107
4.44244,5.09322,1.146491568,299.59,0.40752,0.271714417,24.47944288,1.185918919,-4.480871278,-4.99314552
4.98752,7.28969,1.461586119,2849.13,0.69504,0.833652182,19.33620764,4.900209063,-3.958276212,-4.150085326
5.88473,7.80429,1.326193385,2759.46,0.70156,0.876048765,17.9532225,3.870789538,-3.92925111,-4.019466032
7.08849,11.39005,1.606837281,4048.27,0.7795,1.333230711,15.75840205,2.717306912,-3.824077189,-3.833383603
7.02092,8.26528,1.177236032,3489.57,0.744,1.093538715,16.27944456,3.193748164,-3.580038558,-3.704569855
4.07573,5.65344,1.387098753,1053.2,0.62164,0.617153296,23.8374881,6.532076423,-4.215163411,-4.577668481
11.06312,12.00094,1.084769938,993.47,0.5942,0.615459829,29.86738053,4.348834208,-5.255754006,-4.87906195
4.06272,5.40727,1.330948232,791.432,0.50734,0.38716127,25.09082261,3.552443104,-3.794504602,-4.590615638
3.80274,4.93858,1.298689892,458.737,0.48374,0.323396688,26.36775625,2.400775114,-4.711750148,-5.246876174
5.37606,5.6853,1.057521679,1420.93,0.60772,0.564863785,18.07880448,3.009316054,-3.793280626,-4.228554532
5.13016,6.30636,1.229271602,1365.99,0.6208,0.564071345,18.06682129,2.899580903,-3.769216706,-4.294991267
6.30843,7.60741,1.205911772,2136.04,0.66196,0.76818991,17.60616376,3.708345212,-3.775856691,-4.026491661
9.80847,15.56875,1.587276099,1591.32,0.71824,0.924093938,20.8331126,3.637151221,-4.424383678,-4.14560319
5.59471,9.38154,1.676859033,1604.12,0.68288,0.65523561,22.88351681,4.097158341,-4.238840018,-4.420054456
10.59979,11.41407,1.07682039,1224.38,0.64844,0.540497287,25.46994035,6.044080637,-4.246620843,-4.64996285
10.7235,11.51533,1.07384063,1224.91,0.65144,0.543410077,25.75933592,6.353835708,-4.419653686,-4.810416249
5.62446,9.38408,1.668441059,1646.23,0.68264,0.656649801,22.73818466,4.03434874,-4.245874204,-4.388375805
10.54479,11.3608,1.077385135,1223.85,0.64786,0.5401399,24.97272705,5.828144542,-3.987656543,-4.362540117
5.3868,5.98273,1.110627831,1847.56,0.6472,0.547657731,18.33318363,3.855124057,-3.739068044,-4.078655486
4.26368,5.82193,1.365470673,729.385,0.50118,0.429835846,28.57724398,4.186233618,-3.705758626,-4.477833873
4.05664,5.44423,1.342054015,634.137,0.49082,0.409200807,29.97785097,4.096166602,-3.670904381,-4.654925501
4.25745,5.78749,1.359379441,712.146,0.50502,0.425889695,28.61331294,4.076402536,-3.754405195,-4.437050509
4.30595,6.18036,1.435306959,1065.24,0.58002,0.495756301,24.9506172,4.787492092,-4.424984645,-5.39862252
5.15676,8.28593,1.606809314,2399.39,0.68804,0.803629203,20.17962274,2.96662433,-4.133583721,-4.100977456
5.0837,6.42024,1.262906938,468.517,0.45748,0.257256931,21.70002745,1.563617385,-3.624144693,-4.359117097
4.61254,5.76705,1.2502981,732.709,0.51364,0.337698882,21.73774584,2.298937087,-4.112397893,-4.542358736
3.6686,4.13262,1.126484217,208.084,0.50456,0.287244883,27.94830975,1.852022874,-5.534451075,-6.120103187
3.66327,4.14952,1.132736599,200.263,0.5075,0.290222227,27.93456984,1.872859914,-5.244590086,-5.937964137
7.73483,9.7655,1.262535828,2462.86,0.6857,0.942650502,19.61480238,3.022511204,-4.169552545,-4.109905004
4.32918,9.00116,2.079183587,2201.56,0.67476,0.751965836,22.84900076,7.558887351,-4.427245838,-4.40737757
5.9183,9.52144,1.608813342,2338.43,0.67852,0.81880011,21.3072881,3.436485352,-4.417400599,-4.347817271
4.73321,7.16113,1.512954211,802.611,0.52734,0.458217839,25.58212455,3.04426101,-4.72766383,-4.873463625
5.70377,6.40025,1.122108711,1486.93,0.63598,0.523405866,18.08773694,3.397506429,-3.760912898,-4.100779362
5.8507,10.41989,1.780964671,2819.8,0.72036,0.921342595,19.22195903,3.763773555,-4.072618798,-4.091114949
5.75428,10.54748,1.832979973,2566.31,0.70918,0.858693059,20.38551552,5.988144745,-4.023199309,-4.210617168
8.16815,10.52737,1.28883162,3199.82,0.73192,1.01319793,21.69799952,6.516830662,-3.93372043,-4.100279365
8.1108,10.25531,1.264401785,3116.86,0.72418,0.964116874,25.35800555,7.379178349,-4.177828195,-4.187719603
7.74023,10.53968,1.361675299,3229.25,0.74936,1.089765777,23.13071794,5.466235871,-4.12114117,-4.052749869
3.88543,4.88713,1.257809303,381.56,0.4621,0.280352853,21.23021768,0.886766544,-3.957582973,-4.362504793
3.95303,4.75824,1.203694381,381.422,0.4557,0.274075589,21.40049403,0.9242071,-3.865984488,-4.325868916
4.01813,5.12784,1.276175733,475.366,0.48134,0.302214465,20.43594708,0.959056496,-3.961948887,-4.405786796
4.03284,5.13844,1.274149235,481.538,0.48386,0.304450415,20.38698476,0.956100008,-4.000954237,-4.477426012
3.79229,4.92972,1.299932231,350.543,0.45268,0.2701277,21.46817905,0.856212327,-3.94005527,-4.459571756
