PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst N2,N1bar_N2,log_D0_N2,log_D1bar_N2
6.80894,7.00959,1.02946861,793.947,0.59612,0.35115664,10.4149122,0.175752233,-3.458018061,-3.473993996
4.28231,5.87217,1.371262239,2218.57,0.65652,0.687788949,12.53678976,0.655029869,-3.476380307,-3.529708853
4.06042,6.33732,1.560754799,1600.82,0.62358,0.526414425,11.88911272,0.412070553,-3.593790876,-3.650133564
6.45442,6.88379,1.066523406,867.384,0.5708,0.352076189,11.8111521,0.306862949,-3.223883937,-3.225972463
10.76844,25.42698,2.361250098,2429.07,0.83658,1.279013946,6.353826101,0.183907928,-3.281069421,-3.271650651
5.68454,5.83174,1.025894795,345.079,0.41258,0.271671923,13.13196244,0.16902837,-2.936429611,-3.275409828
4.38571,5.73292,1.307181733,719.362,0.52164,0.425425719,15.32460942,0.557229821,-3.782080154,-3.969632538
5.25081,7.26399,1.383403703,1762.91,0.59932,0.621823803,12.18825756,0.487942434,-3.726552568,-3.684062097
5.5873,6.57451,1.176688204,1582.38,0.60734,0.646685648,11.43087717,0.453557919,-3.440972802,-3.498724352
6.93274,11.69294,1.686626067,2124.14,0.69224,0.973746104,12.34160917,0.446152403,-4.054127901,-4.052947535
7.39815,11.84006,1.60040821,2048.29,0.70204,0.953172308,12.28811679,0.40949445,-4.00193545,-4.071218553
7.36492,11.84801,1.608708581,2067.8,0.70488,0.961580699,12.36036245,0.419285829,-4.038364829,-4.011927622
6.70311,11.79938,1.760284405,2122.86,0.70388,0.958588456,12.39674515,0.419958179,-4.089562787,-4.047878146
7.13512,11.94166,1.673645293,2232.87,0.71434,1.007329985,12.16495526,0.434762042,-4.097257743,-4.106696496
6.91892,12.04076,1.740265822,2134.58,0.70596,0.967361352,12.22958051,0.409004787,-4.059322371,-4.157183284
4.52481,10.64181,2.351879968,2211.32,0.67086,0.750713382,10.94924976,0.385304979,-3.623397341,-3.674733637
7.28684,8.54501,1.172663322,1113.55,0.59522,0.600661998,10.53340365,0.272606075,-3.859076518,-3.88431459
4.40002,8.03493,1.826112154,573.552,0.48206,0.419649697,15.3134373,0.316443308,-4.003779822,-4.018126709
4.27216,9.42427,2.205973091,1474.96,0.61826,0.629302369,12.00814814,0.312081964,-4.136988666,-4.04610187
4.5072,7.01648,1.556727015,804.887,0.5435,0.512571439,11.66873099,0.217638877,-3.864513525,-3.897451837
