Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CH4,log_P(MMM)_CH4
0.75,0.29,18.91713,21.19624,6444.31,0.92314,5.001733816,3.741919881,4.046042801
0.75,0.29,10.06116,17.06582,4651.45,0.81988,1.926708559,7.588373879,4.040605371
1.22,0.25,15.83507,17.46831,3527.72,0.81522,2.055148838,9.139229112,3.667660212
1.33,0.104,31.81217,36.62661,4750.8,0.94796,6.872861203,5.026161735,1.322208033
0.75,0.29,3.95909,5.10254,437.509,0.5031,0.353270792,21.22080036,3.955960219
1.241,0.225,16.95526,20.74545,5465.34,0.90304,3.835102159,5.937480781,-0.414539649
1.418,0.152,26.93396,29.16873,6625.05,0.93038,5.669211692,3.797259725,0.118097998
1.44,0.2104,10.24078,12.95516,3867.14,0.8202,1.605851706,6.665892562,0.991210531
1.241,0.225,11.41339,13.87312,5610.9,0.85926,2.613742483,6.786970889,-0.414539704
1.22,0.25,7.00267,10.18703,2422.6,0.69118,0.879471284,12.33705902,3.667000785
1.44,0.2104,13.72049,20.35415,5677.47,0.90092,3.645456936,4.712613899,0.991214604
1.418,0.152,7.24483,9.80418,3085.39,0.74164,1.095061121,11.99559376,0.118097643
0.75,0.29,14.64873,20.47838,4049.85,0.82996,2.141506196,9.648147282,4.04301217
0.75,0.29,7.10831,10.99087,2754.16,0.73104,1.018831321,10.55580115,4.039866854
0.75,0.29,4.70834,5.81491,1572,0.64006,0.546401345,14.08439675,4.039718598
1.22,0.25,4.777,5.63813,1136.23,0.5562,0.53939776,19.15749045,3.667360657
1.241,0.225,19.25398,22.77768,6433.99,0.91204,4.264639182,4.088419542,-0.414539669
1.09,0.26,13.99609,20.49043,4361.82,0.8646,2.256033441,6.290383485,2.33965355
1.33,0.104,4.10631,6.32737,710.499,0.4954,0.424063961,20.55777979,1.322079098
1.306,0.166,33.45003,39.11232,5052.02,0.95286,7.978397388,7.858995829,0.088135449
0.965,0.314,5.60978,9.23636,2729.49,0.70288,0.908827606,18.64962974,4.091585233
1.418,0.152,7.96103,12.7883,2813.43,0.7531,1.097197637,10.57335542,0.118097141
1.241,0.225,6.99504,9.91902,3590.41,0.75622,1.195720062,8.283103719,-0.414539712
0.75,0.29,3.86741,4.00169,142.165,0.4021,0.202718372,17.13817212,4.047432724
1.44,0.2104,19.2756,22.38657,6499.16,0.91718,4.386741917,3.709843638,0.991216778
0.965,0.314,4.97266,8.0774,1835.36,0.64954,0.673047531,12.06535158,4.079077695
0.965,0.314,9.04871,14.96816,3759.76,0.79576,1.477276314,7.886652763,4.085416856
1.44,0.2104,5.98929,9.0448,1309.45,0.61784,0.561432842,13.17672551,0.991212754
1.22,0.25,22.01456,26.01478,5708.33,0.9223,4.779449868,3.993057687,3.66971619
1.306,0.166,5.41121,8.36662,1936.8,0.64684,0.790689317,11.37808675,0.088126895
1.306,0.166,6.67449,13.22354,2217.12,0.7237,0.825764491,18.3173548,0.088134535
1.44,0.2104,8.63075,11.44124,3748.32,0.74808,1.382517095,12.20904409,0.991212235
0.75,0.29,24.16274,29.22072,5914.5,0.94346,6.811346227,4.316183298,4.048519786
1.09,0.26,9.64064,14.5743,4764.78,0.81582,2.069353869,8.429005629,2.339637756
1.22,0.25,21.89661,25.32153,6969.86,0.93296,6.062433395,3.572943644,3.669988843
1.09,0.26,35.69167,36.76279,5479.51,0.92814,5.282887847,4.91053265,2.339792958
1.418,0.152,28.6014,30.29074,4735.31,0.88492,3.16376182,7.571030535,0.11809801
1.306,0.166,9.58698,15.43186,2950.41,0.80294,1.245350911,7.377435675,0.088134187
1.22,0.25,4.00789,6.12931,631.093,0.54224,0.496561324,20.40358631,3.667969886
0.965,0.314,14.89526,18.88612,4693.36,0.89124,2.758761585,4.867839993,4.086653817
1.22,0.25,13.82012,15.81587,5651.28,0.89192,3.212088909,4.689853425,3.669329448
1.44,0.2104,6.00494,11.43321,5226.9,0.78598,1.508407764,10.37868903,0.991220944
1.09,0.26,3.81528,7.01869,654.079,0.4887,0.365263016,19.60549752,2.339430901
0.965,0.314,4.74798,5.61731,1045.48,0.54568,0.462526912,16.53100954,4.084277564
1.33,0.104,7.33296,11.41636,3245.61,0.75642,1.102858842,8.144535123,1.322184324
0.965,0.314,15.46386,16.64269,4028.36,0.81898,1.912655597,10.17916298,4.083331944
