PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst H2,N1bar_H2,log_D0_H2,log_D1bar_H2
5.21845,6.19215,1.186587972,1780.51,0.62202,0.648383939,4.878778858,0.063936232,-2.793523004,-2.79913182
5.72948,7.70901,1.345499068,1552.97,0.59466,0.591760374,4.230303868,0.050170714,-2.91262604,-2.920164043
6.19226,7.11646,1.149250839,1324.79,0.57908,0.561684627,4.496546058,0.049389498,-2.509991404,-2.522358947
5.75134,6.79615,1.181663751,1173.51,0.5675,0.512350583,4.278226651,0.033940352,-2.677476746,-2.638805543
5.81846,6.76349,1.162419266,1181.72,0.56678,0.509076211,4.36969055,0.033971068,-2.660470402,-2.879467329
8.81485,9.37681,1.06375151,1034.7,0.62004,0.60803138,3.223546838,0.024851912,-2.573359715,-2.554160034
11.54677,12.36039,1.070462995,1097.12,0.6806,0.492681444,2.951098063,0.035153115,-2.132224789,-2.314279289
4.59142,5.47244,1.191883992,1247.91,0.55474,0.538467512,4.995671028,0.044004085,-3.093501334,-3.048635937
9.13066,13.54985,1.483994585,3063.99,0.77418,1.229087353,2.443345687,0.075680456,-2.683981019,-2.748041715
5.06628,5.31376,1.048848465,500.296,0.43594,0.290756538,5.317850906,0.023638616,-2.843859464,-2.853287004
8.54605,20.14565,2.357305422,5410.53,0.8642,2.526442575,1.629023721,0.139358446,-2.392690284,-2.403563713
7.46421,8.75902,1.173469128,2449.21,0.68932,0.89469442,3.541938545,0.066167964,-2.720077533,-2.79837156
4.41775,4.76295,1.078139324,485.717,0.47632,0.362347285,8.052717823,0.06383599,-1.92274981,-2.016793583
4.56338,5.47883,1.200607883,348.291,0.45418,0.217427521,3.794698486,0.00984142,-3.07255722,-3.050233678
4.1969,5.64744,1.345621768,1024.7,0.56064,0.516404768,5.146750103,0.043494442,-3.389527273,-3.324252101
10.45745,10.54661,1.008525979,1438.1,0.66182,0.75013488,3.245856544,0.041134928,-2.894354999,-2.927987992
10.23297,10.35764,1.012183169,1390.52,0.65554,0.733276882,3.350850518,0.041907148,-2.562500965,-2.768574351
10.09526,10.20776,1.011143844,1062.17,0.6163,0.608595185,2.945488351,0.028111751,-2.582550626,-2.812500873
9.95473,10.07029,1.011608552,1045.07,0.61098,0.598126267,2.932998949,0.027422409,-2.487539195,-2.658113874
10.23127,10.36311,1.012885986,1409.99,0.6572,0.738175655,3.252025323,0.041179699,-2.627591427,-2.610175544
10.2098,10.32563,1.011344982,921.145,0.6122,0.52518251,3.101541409,0.026191323,-2.3603007,-2.390193463
9.78954,9.9082,1.012121101,1055.67,0.6064,0.587750671,2.937271375,0.026866969,-2.552064934,-2.589357427
9.63706,9.77409,1.014219067,1141.74,0.59722,0.60298575,3.738614402,0.036540974,-2.51596161,-2.492156607
9.89092,10.03622,1.014690241,1208.74,0.6104,0.63534888,3.733813114,0.037466482,-2.545631661,-2.613769095
5.16047,6.75364,1.308725756,2935.51,0.6548,0.819826069,4.625824882,0.083503668,-2.743171997,-2.777550687
5.02845,6.64209,1.320902067,2823.58,0.65108,0.805574734,4.722016307,0.083707881,-2.764165207,-2.71544956
5.44633,7.19383,1.320858266,3056.13,0.67,0.874350599,4.33911658,0.085345371,-2.739051244,-2.748779006
5.16957,6.75186,1.306077682,2939.45,0.65506,0.820151595,4.623888542,0.084331111,-2.725714935,-2.741518774
6.03558,10.21454,1.692387476,2563.33,0.68238,0.892734026,3.695054413,0.072399771,-2.915303417,-2.878577848
5.96794,8.00306,1.34100879,3061.76,0.68974,0.944800134,3.829505895,0.0810939,-2.777284697,-2.764940255
7.20236,7.55271,1.048643778,545.57,0.44976,0.311709914,4.574188088,0.02145069,-2.768963297,-2.884292866
10.44621,10.53908,1.008890306,645.574,0.5418,0.503681392,3.489274263,0.021733613,-2.501947918,-2.553667336
4.09504,5.33845,1.30363806,174.546,0.60088,0.398464181,5.687399642,0.030603626,-3.3985173,-3.439547147
9.65919,15.53135,1.607935034,1705.48,0.73432,0.998781311,2.698118742,0.064555019,-2.805096901,-2.578650978
4.72091,7.75357,1.642388861,1299.21,0.55784,0.522654874,4.873054386,0.043101642,-3.019753984,-3.027788599
8.28637,10.23635,1.235323791,3308.72,0.7734,1.077825285,1.654933173,0.053231984,-2.52724118,-2.533443391
7.89385,9.01955,1.142604686,3220.74,0.77522,1.085800085,1.594313075,0.053385243,-2.559961885,-2.563013812
5.82599,6.17717,1.060278167,4176.69,0.70416,0.940122215,3.87893624,0.080789981,-2.493639439,-2.624095553
6.15688,9.97626,1.620343421,2854.51,0.73308,0.936442545,3.215097908,0.070412693,-2.790975221,-2.733842314
4.74798,5.61731,1.183094706,1045.48,0.54568,0.462526912,4.631630305,0.028939222,-3.24645425,-3.169217995
5.12647,14.73899,2.875075832,2592.56,0.71414,0.965307121,3.198445342,0.071389603,-3.027972087,-3.134746741
9.90606,13.79678,1.392761602,3776.02,0.8154,1.49928566,2.222439852,0.094908759,-2.534549694,-2.423919642
10.18096,11.98539,1.177235742,4102.78,0.77866,1.338704242,2.944852011,0.096845926,-2.648739394,-2.596134011
20.98793,21.72315,1.03503061,4580.18,0.89992,2.918937153,1.00941549,0.139305893,-2.185883695,-2.19942733
10.23686,21.31368,2.082052504,3650.11,0.78646,1.560863887,2.627743284,0.099573955,-2.601751321,-2.491060266
10.09364,21.10286,2.090708605,3623.14,0.78424,1.53250895,2.676744117,0.100058326,-2.627660353,-2.5579791
9.52705,21.88013,2.296632221,3907.44,0.79112,1.677612257,2.439967428,0.10474537,-2.575279922,-2.620919922
5.75458,7.36646,1.280103848,1405.71,0.59344,0.551549793,3.656592584,0.035162686,-2.962364136,-2.942045489
16.92881,18.61448,1.09957404,4498.68,0.83828,1.916112368,1.831647778,0.109477074,-2.439937972,-2.354384488
4.86094,6.48832,1.334787099,816.468,0.51428,0.384370469,4.764575356,0.028623396,-2.961762562,-2.985897022
4.74657,6.37536,1.343150949,775.425,0.5131,0.372189177,4.949077095,0.029001725,-3.013659796,-3.019514826
7.50799,8.31867,1.107975637,1042.15,0.5793,0.436121358,3.639737668,0.028730957,-2.896876721,-3.000366887
6.38588,6.55466,1.026430187,655.426,0.53696,0.387431004,4.329842495,0.023198157,-2.931294761,-2.871000315
5.70379,7.95789,1.395193371,1708.74,0.61892,0.606160325,3.614278431,0.047135503,-2.737542547,-2.586906709
7.16704,7.9618,1.110890968,973.163,0.56886,0.400171645,3.745899795,0.026553228,-2.954708313,-2.983927042
6.80286,8.39634,1.234236777,1923.66,0.64358,0.722106156,4.166560509,0.057655812,-2.954046307,-2.897342214
6.8904,8.30709,1.205603448,1894.26,0.64216,0.715343184,4.183233935,0.057613227,-2.954446548,-2.933488484
6.3971,8.11197,1.268069907,2096.97,0.65336,0.76876826,4.180739529,0.062458335,-2.931664452,-2.879526306
6.47185,8.33004,1.28711883,2086.19,0.65498,0.765836342,4.187899263,0.0626047,-2.893445682,-2.924058217
6.36998,8.09188,1.27031482,2057.4,0.65232,0.753964172,4.23405464,0.061589112,-2.926567661,-2.848205542
6.66,13.15,1.974474474,2177.31,0.72,0.808988764,3.361554178,0.059678187,-2.826199292,-2.875911287
4.49353,7.07757,1.575057917,989.762,0.54344,0.408733651,3.639214976,0.027647784,-3.042152983,-3.177677685
5.10301,7.91374,1.55079845,1994.19,0.64696,0.718710285,4.224693249,0.057247802,-3.043818681,-3.060655238
4.28567,5.96735,1.392396055,1013,0.53236,0.473798505,5.262241683,0.040382737,-3.041660285,-3.047874094
