PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CH4,log_P_0(CH4),log_P(CH4)
6.93274,11.69294,2124.14,0.69224,0.710904,0.973746104,16.93132797,-8.948338324,5.334700021
7.39815,11.84006,2048.29,0.70204,0.73653,0.953172308,17.04640619,-9.164417543,5.224753632
7.36492,11.84801,2067.8,0.70488,0.733043,0.961580699,16.99209985,-8.987207438,5.231761107
6.70311,11.79938,2122.86,0.70388,0.734288,0.958588456,17.12197369,-9.073835391,5.329276431
7.13512,11.94166,2232.87,0.71434,0.709142,1.007329985,16.93717002,-9.168094124,5.257699248
6.91892,12.04076,2134.58,0.70596,0.729779,0.967361352,16.70079857,-9.194597527,5.185255843
4.52481,10.64181,2211.32,0.67086,0.89363,0.750713382,14.40706597,-8.559230091,5.768848914
7.28684,8.54501,1113.55,0.59522,0.99094,0.600661998,14.06287845,-8.382636043,5.95747514
4.40002,8.03493,573.552,0.48206,1.14872,0.419649697,23.74984918,-8.608221603,5.43823073
4.27216,9.42427,1474.96,0.61826,0.982453,0.629302369,18.4068059,-9.203930537,5.338060876
4.5072,7.01648,804.887,0.5435,1.06034,0.512571439,15.60606053,-8.939283217,5.359792693
10.50387,10.88001,981.784,0.59548,1.19375,0.498831414,18.53904671,-7.412617417,6.363407601
5.9875,6.82031,825.578,0.5077,1.17466,0.432210171,16.11327274,-8.235776054,5.62452026
6.12106,6.83308,793.258,0.50646,1.18929,0.425850718,16.49612675,-8.271492496,5.535553723
8.80996,17.2872,4741.45,0.84252,0.383391,2.197547673,7.799491076,-8.491997654,5.589506612
5.62993,8.06476,2869.72,0.70336,0.749362,0.938611779,14.59393133,-8.659414844,5.604725895
8.65235,9.6188,2701.78,0.67854,0.750661,0.903923342,15.45391074,-8.521267491,5.755639715
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,15.89956522,-9.29066354,5.220571339
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,14.22848313,-8.947593928,5.631945522
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,17.77573121,-9.063917825,5.322425841
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,10.96811937,-8.64090299,5.710486123
11.51164,12.50781,1917.32,0.73012,0.899872,0.811359838,15.80566553,-8.670538467,5.669388502
11.17828,12.20276,1798.43,0.71436,0.934439,0.764480078,15.92454072,-8.750956702,5.641358133
6.87343,12.16451,2800.76,0.71512,0.774775,0.923003453,12.2264707,-8.593993848,5.752046038
5.4451,6.31092,645.76,0.49582,1.11362,0.445232665,14.94573609,-9.542876646,5.014293479
4.93668,5.48228,785.597,0.53086,1.18498,0.447990683,19.71015683,-7.685829822,6.049831338
4.89759,5.65614,913.914,0.55704,1.11309,0.500444708,18.16749408,-7.800567861,5.972598168
4.51467,5.44142,500.175,0.5001,1.81828,0.275040148,18.67003369,-7.72730216,6.108984564
4.88169,5.99991,1468.41,0.61502,1.10463,0.556765614,15.3457996,-9.016923794,5.320867085
4.20229,5.16583,602.813,0.51252,1.16624,0.439463575,20.7758524,-8.640106957,4.325619765
5.24025,7.13491,1971.32,0.64884,0.961266,0.674984864,14.21724168,-9.224995486,5.232918338
6.30914,7.54763,1344.47,0.61346,1.01674,0.603359758,13.72775881,-8.453203073,5.923632067
5.41267,6.44764,2206.57,0.63174,0.918977,0.687438315,15.09985104,-8.304674033,5.993298452
5.21845,6.19215,1780.51,0.62202,0.959339,0.648383939,16.02271924,-8.108173971,6.020107202
5.72948,7.70901,1552.97,0.59466,1.0049,0.591760374,15.54796022,-8.492212476,5.989166477
6.19226,7.11646,1324.79,0.57908,1.03097,0.561684627,15.59335554,-7.917522932,6.188606293
5.75134,6.79615,1173.51,0.5675,1.10764,0.512350583,15.09188675,-8.827016046,5.892635673
5.81846,6.76349,1181.72,0.56678,1.11335,0.509076211,15.42753952,-8.938751709,5.837314741
8.81485,9.37681,1034.7,0.62004,1.01975,0.60803138,10.87105273,-8.906853392,5.505111723
11.54677,12.36039,1097.12,0.6806,1.38142,0.492681444,10.96648277,-8.358446315,6.133110861
4.59142,5.47244,1247.91,0.55474,1.03022,0.538467512,18.10655217,-8.502286503,5.654448562
9.13066,13.54985,3063.99,0.77418,0.629882,1.229087353,10.78650216,-8.809794155,5.449418591
5.06628,5.31376,500.296,0.43594,1.49933,0.290756538,18.52235855,-8.322295982,5.29017366
8.54605,20.14565,5410.53,0.8642,0.342062,2.526442575,6.860425302,-8.440133564,5.533229047
7.46421,8.75902,2449.21,0.68932,0.770453,0.89469442,14.31390765,-8.729820282,5.538360694
4.41775,4.76295,485.717,0.47632,1.31454,0.362347285,27.84955146,-5.531881402,6.76246376
4.56338,5.47883,348.291,0.45418,2.08888,0.217427521,13.47211502,-9.057372598,5.614047535
4.1969,5.64744,1024.7,0.56064,1.08566,0.516404768,18.45717327,-9.11774808,4.857395742
10.45745,10.54661,1438.1,0.66182,0.882268,0.75013488,13.2375082,-9.219183653,5.743327876
10.23297,10.35764,1390.52,0.65554,0.893987,0.733276882,13.79901298,-9.199871364,5.737528585
10.09526,10.20776,1062.17,0.6163,1.01266,0.608595185,10.75140336,-8.814330712,5.510955179
9.95473,10.07029,1045.07,0.61098,1.02149,0.598126267,10.63616158,-8.838559261,5.557527193
10.23127,10.36311,1409.99,0.6572,0.890303,0.738175655,13.2675107,-9.049029162,5.481371102
10.2098,10.32563,921.145,0.6122,1.16569,0.52518251,10.85788469,-8.725697444,5.765597761
9.78954,9.9082,1055.67,0.6064,1.03173,0.587750671,10.62874027,-8.885166897,5.532337506
9.63706,9.77409,1141.74,0.59722,0.990438,0.60298575,12.18818945,-8.714211756,5.79853996
9.89092,10.03622,1208.74,0.6104,0.960732,0.63534888,12.32756704,-8.727012914,5.673797209
5.16047,6.75364,2935.51,0.6548,0.798706,0.819826069,16.05178044,-8.176679623,6.013052467
5.02845,6.64209,2823.58,0.65108,0.808218,0.805574734,16.39250982,-8.134305227,5.983019801
5.44633,7.19383,3056.13,0.67,0.766283,0.874350599,15.16085437,-8.139569281,6.056664171
5.16957,6.75186,2939.45,0.65506,0.798706,0.820151595,16.05977739,-8.12603029,6.022142845
6.03558,10.21454,2563.33,0.68238,0.764371,0.892734026,13.30307223,-8.607756522,5.670585026
5.96794,8.00306,3061.76,0.68974,0.730038,0.944800134,13.51714823,-8.285606503,5.924881784
7.20236,7.55271,545.57,0.44976,1.44288,0.311709914,15.70837971,-8.604550088,5.644823177
10.44621,10.53908,645.574,0.5418,1.07568,0.503681392,13.25449909,-9.053811427,5.459480476
4.09504,5.33845,174.546,0.60088,1.50799,0.398464181,22.13679653,-9.619139417,4.316359867
