Polymer density,FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst CO2,log_P(MMM) - CO2
0.75,0.29,4.45805,6.7664,1603.21,0.63014,0.606067018,22.2154745,4.684339383
1.33,0.403,13.33904,27.33782,6255.09,0.89344,3.741733919,8.929177775,-0.876148555
1.311,0.149,6.14293,6.51956,1175.52,0.62042,0.495388817,21.45851728,0.604764539
1.44,0.2104,3.72114,5.34194,616.839,0.48554,0.408044238,24.46234363,2.520534345
1.44,0.2104,11.97631,16.47628,5796.42,0.87422,2.91740223,14.19879394,2.521306636
1.386,0.1057,8.26432,10.45715,2830.83,0.71568,1.02908168,23.55357355,-3.024456617
1.33,0.403,5.27904,6.90179,1266.7,0.56356,0.511499573,23.51254464,-0.876148463
1.44,0.2104,26.70915,28.85082,6967.36,0.95278,8.493314316,5.141950347,2.521411546
0.965,0.314,4.0827,5.1026,321.126,0.44804,0.272920537,31.44876953,4.695024496
1.22,0.25,13.81631,17.46171,6393.63,0.8938,3.825068794,14.29806557,4.3549968
1.44,0.2104,10.59979,11.41407,1224.38,0.64844,0.540497287,25.46994035,2.521518454
1.33,0.104,17.41687,20.87718,5483.24,0.90424,3.859342123,10.49746709,2.760768015
1.418,0.152,5.40352,11.19528,811.993,0.6037,0.394399875,33.63317809,1.896120338
1.09,0.26,10.6982,15.12403,4763.18,0.83752,2.072725563,15.38544739,3.599861989
0.75,0.29,8.55613,10.88811,2713.4,0.69748,0.993466436,20.84427279,4.672080611
1.311,0.149,4.0676,5.24396,1160.37,0.60512,0.540502881,22.84167094,0.604742368
1.386,0.1057,15.39068,21.35626,4743.61,0.86206,2.591251078,11.43224812,-3.024456617
1.306,0.166,27.3679,30.13045,6807.82,0.95132,8.500379752,6.358434106,1.382893786
1.09,0.26,5.74192,9.61066,1359.85,0.65638,0.518537244,29.28490684,3.596438353
1.418,0.152,3.9606,4.38835,693.085,0.49638,0.40949364,31.24817621,1.895068895
1.44,0.2104,11.29465,14.04508,5562.51,0.87408,2.795928682,9.884468605,2.521339768
0.965,0.314,3.97231,6.12654,1214.84,0.5539,0.511974415,23.34820274,4.882743198
1.306,0.166,5.18128,5.93683,369.13,0.43244,0.322523866,24.08200504,1.38288398
1.33,0.104,12.13349,15.46146,4546.32,0.85638,2.221553515,10.55141365,2.760557925
1.311,0.149,24.44442,26.84576,6235.7,0.91852,4.717132293,12.14961156,0.604760238
1.241,0.225,8.46343,15.10074,3175.41,0.78692,1.27885642,33.32495017,1.197263112
1.33,0.403,20.81322,22.05183,4526.07,0.8758,2.817218552,10.61295142,-0.876148538
1.33,0.104,17.43048,23.00609,5914.74,0.91056,4.159859657,9.393654253,2.760905402
0.75,0.29,5.04936,7.20433,380.505,0.43506,0.229750425,21.28343535,4.657413455
1.418,0.152,3.78386,5.87604,1194.61,0.62304,0.59802463,23.09318653,1.896187358
1.33,0.104,13.85413,14.13574,1462.4,0.68312,0.786051023,24.72753913,2.761372494
1.418,0.152,17.20635,19.81541,5774.66,0.89762,3.928744939,10.31768842,1.896126495
1.241,0.225,18.97336,21.70165,6105.95,0.8969,3.727624486,12.06325148,1.197256705
1.44,0.2104,4.8515,6.55849,1033.78,0.58632,0.539914361,23.36595992,2.521477194
1.33,0.104,6.76238,9.12709,2438.54,0.69884,0.830884101,23.71321142,2.760402142
0.965,0.314,14.52681,21.09801,3011.29,0.88326,1.95734553,14.41982841,4.853615753
1.09,0.26,6.68072,9.27005,2921.23,0.70932,0.99466433,22.25102495,3.597818851
1.09,0.26,10.39011,11.25458,2141.83,0.69712,0.832416877,26.78262733,3.599548706
0.965,0.314,9.17861,18.69262,2936.83,0.79786,1.315309226,14.12979364,4.868708064
1.306,0.166,13.77978,18.5405,4839.71,0.86276,2.574588339,14.68079913,1.382881906
1.311,0.149,16.73046,20.16603,5942.09,0.89872,3.956121353,9.614648955,0.604760134
1.306,0.166,23.58981,29.67086,7216.49,0.94038,6.984869755,6.103794416,1.382890365
1.33,0.104,5.25928,11.09362,4937.3,0.76358,1.344307319,16.10352296,2.761287835
1.44,0.2104,14.54181,18.68675,4340.26,0.85528,2.383537517,15.10218536,2.521382351
0.965,0.314,3.9715,4.73097,316.992,0.47138,0.247260558,43.43946923,4.617563465
0.75,0.29,27.48589,30.29303,7092.33,0.9435,7.346585998,7.100094489,4.643658682
1.311,0.149,6.02432,6.70534,3161.12,0.6914,0.949323638,16.52670526,0.604764218
1.311,0.149,3.82611,5.87643,1078.63,0.56336,0.547509597,26.79387384,0.604758801
1.44,0.2104,3.85397,5.84014,651.999,0.5233,0.348170326,45.0995862,2.492780908
1.418,0.152,10.57918,14.80707,5142.45,0.82912,2.030723411,12.42892119,1.896174699
1.311,0.149,4.98095,5.79441,842.909,0.5222,0.422362057,28.8489167,0.604725253
1.33,0.104,4.40002,8.03493,573.552,0.48206,0.419649697,37.28972208,2.760881454
1.44,0.2104,21.37691,25.72883,6510.62,0.92776,5.408039545,8.140378521,2.521313923
1.306,0.166,3.79637,4.80272,932.04,0.57686,0.402559701,38.24545069,1.382728718
0.965,0.314,8.19405,15.12904,4178.45,0.81418,1.701141644,17.20762971,4.888717909
1.44,0.2104,20.27434,25.63032,7053.73,0.94104,6.876032092,6.08047063,2.52145136
0.965,0.314,11.92441,16.97215,4072.1,0.80422,1.74043079,13.44447953,4.880487681
1.33,0.403,5.1578,5.66812,807.237,0.5395,0.399458011,21.31802188,-0.876148509
1.33,0.403,7.95718,15.08596,3726.04,0.81206,1.37376738,10.43753922,-0.876148607
1.44,0.2104,8.1148,12.24502,4976.71,0.82262,1.810909219,14.94147051,2.521361334
1.306,0.166,14.61351,17.13896,5354.78,0.89328,3.248668936,7.997502422,1.382882018
1.09,0.26,3.82151,4.95265,423.497,0.47726,0.370126798,27.99992099,3.544708074
1.33,0.403,9.30309,11.50147,3845.84,0.78934,1.501054469,17.91846061,-0.87614855
0.75,0.29,15.11992,18.14271,6054.5,0.88042,3.21289508,8.014224616,4.638440513
1.22,0.25,7.72449,8.38907,1406.18,0.6728,0.560073922,21.37343916,4.365703075
1.418,0.152,20.65941,28.55079,7072.66,0.94312,6.705200668,5.318659701,1.896143153
1.22,0.25,3.77657,4.48976,224.153,0.48546,0.297457767,28.84156448,4.263847928
1.22,0.25,7.16817,14.65581,2599.61,0.74408,0.960432871,24.28420704,4.353321376
1.33,0.403,7.91254,15.05145,4206.4,0.8053,1.715075542,16.63767413,-0.876148572
0.75,0.29,10.95857,11.78987,1368.61,0.64822,0.603281557,20.74667468,4.689407335
0.75,0.29,10.81121,11.63688,1246.22,0.66284,0.542666503,16.30606601,4.694959456
1.22,0.25,4.98271,6.87089,629.45,0.48072,0.394605288,22.62045039,4.335920245
1.386,0.1057,13.19525,16.94027,6107.37,0.9014,3.898114513,9.375435975,-3.024456617
1.22,0.25,5.66439,10.32083,5098.1,0.77,1.382539779,15.6530151,4.377979617
1.33,0.403,19.2756,22.38657,6499.16,0.91718,4.386741917,7.271280749,-0.876148528
1.386,0.1057,11.16287,15.23283,5159.77,0.84938,2.33509739,14.3098975,-3.024456617
1.241,0.225,4.32366,7.48304,1453.09,0.63988,0.563666634,21.78822491,1.197270205
1.386,0.1057,11.17877,14.4303,3626.72,0.80558,1.564752568,19.39731026,-3.024456616
1.311,0.149,4.89351,5.85362,401.812,0.49786,0.33738124,24.31527952,0.604762116
1.311,0.149,6.75464,6.9686,1918.86,0.6558,0.67550029,25.11795987,0.604763626
1.311,0.149,7.52386,8.16009,1339.59,0.66272,0.54013611,21.82323939,0.604761707
