Polymer density (g/cm3),FFV,PLD,LCD,ASA,Porosity,Pore volume,Qst N2,log_P(MMM)_N2
1.33,0.104,7.29484,11.11525,4515.6,0.77828,1.45505806,8.55464793,1.202040984
1.22,0.25,9.59825,17.62466,4695.07,0.844,2.132492464,4.942417341,3.238753169
1.09,0.26,6.26887,12.93319,2808.1,0.7485,0.971913833,9.029370641,2.206341095
1.22,0.25,7.83927,12.46355,4341.72,0.8002,1.533329118,7.204296134,3.23862732
1.241,0.225,21.66237,24.27108,4854.7,0.9214,4.097733661,4.872702775,-0.35902258
1.241,0.225,3.80398,7.0591,663.374,0.49546,0.376827246,14.08549315,-0.359023129
1.418,0.152,22.92027,26.4844,6257.47,0.94492,6.817948958,2.355191853,0.346839565
1.44,0.2104,13.13884,17.91679,4388.99,0.85464,2.104418185,6.309602412,1.106335798
1.418,0.152,3.95603,7.62911,1627.05,0.60912,0.66074679,12.19690244,0.346832582
1.09,0.26,15.84065,19.10552,5936.16,0.8969,4.061568837,4.338287643,2.206546184
1.418,0.152,3.85549,5.12179,836.799,0.5506,0.443964231,14.18040168,0.346838472
1.22,0.25,6.09937,8.87089,2081.41,0.708,0.657839721,7.919641374,3.238329306
1.33,0.104,4.24768,8.85312,1497.51,0.62228,0.733776624,11.46725365,1.201999941
1.44,0.2104,25.52107,28.40792,6212.11,0.94712,7.043931607,2.242402777,1.106349103
1.09,0.26,11.96591,15.52855,4859.35,0.86502,2.490656654,3.862509477,2.206460823
1.44,0.2104,3.92519,8.78791,839.627,0.52416,0.431887282,14.3889276,1.106273196
1.09,0.26,4.37434,6.87571,656.753,0.53418,0.423200025,13.89427444,2.206147067
1.418,0.152,8.27985,8.50423,977.119,0.58898,0.525537155,9.619803621,0.346837087
0.965,0.314,4.83707,7.10977,1457.11,0.56878,0.540927636,13.56166564,3.778550823
0.965,0.314,10.68723,13.33688,4740.56,0.82726,2.022581245,8.597707885,3.779771591
0.75,0.29,3.742,4.05904,181.778,0.47156,0.405730265,19.83607636,3.67233135
1.418,0.152,21.20763,21.97378,4538.44,0.86662,2.92675184,6.422044485,0.346838009
1.33,0.104,7.30518,10.08095,2857.58,0.71954,1.018292873,10.62504899,1.202026296
1.418,0.152,10.962,13.48531,4945.43,0.84136,2.151518716,4.794202071,0.346836741
1.44,0.2104,10.82786,13.58842,4627.63,0.84738,2.150683367,6.804899355,1.106336675
1.22,0.25,4.73838,5.90111,3224.14,0.7112,0.833263036,9.233354601,3.239328265
1.22,0.25,7.43067,9.64597,3313.8,0.73074,1.153181531,8.17830472,3.23787726
1.418,0.152,14.54561,20.08452,2829.25,0.85968,1.536275861,3.796995469,0.346837501
1.09,0.26,8.40065,10.65067,3119.22,0.73324,1.123345217,11.20681561,2.206355639
1.33,0.104,22.2954,23.52099,2619.08,0.87474,2.431481337,5.070556727,1.202060699
1.418,0.152,11.49454,13.35709,3570.32,0.8031,1.505858617,5.967037094,0.346834725
1.22,0.25,10.27695,15.10836,3938.58,0.82492,1.61319467,4.247276534,3.238540009
1.22,0.25,10.3572,16.45254,5162.75,0.84572,2.251195179,4.751745153,3.239429388
1.306,0.166,4.50914,6.68622,2088.33,0.63912,0.829344188,13.23943121,-0.27984305
1.44,0.2104,4.59016,5.3607,875.531,0.5299,0.439641583,14.2594856,1.106344925
1.09,0.26,6.67442,9.6728,4280.9,0.74518,1.336401232,7.521799593,2.206375493
1.22,0.25,3.89872,4.64123,115.402,0.45456,0.283540008,16.352414,3.224033929
1.241,0.225,4.4748,6.14583,2626.37,0.65502,0.824259416,11.9877718,-0.359022813
0.965,0.314,17.1035,21.72415,5825.13,0.9124,4.235132476,2.897123554,3.782862378
1.418,0.152,6.05766,14.24977,1944.96,0.74626,0.72260201,6.907872319,0.34683497
1.241,0.225,3.7795,9.12551,1306.39,0.61896,0.52847007,10.47663674,-0.359025746
1.09,0.26,11.55783,13.83708,4897.5,0.85024,2.209167275,7.570737338,2.206490405
0.965,0.314,11.37635,24.03762,3951.41,0.8426,2.006128382,4.845475928,3.779664091
1.44,0.2104,17.55175,32.00355,5397.23,0.91408,4.091069806,3.5780429,1.106345659
0.75,0.29,15.11493,21.50875,5980.85,0.90344,3.951796689,3.1365788,3.668507909
0.965,0.314,12.15769,15.70638,5975.84,0.87788,3.000991351,3.755091993,3.780682353
1.22,0.25,19.97149,23.67476,6420.11,0.9132,5.002026664,3.445971903,3.240215798
0.965,0.314,11.72979,15.03194,3939.93,0.86008,1.839507229,3.990864241,3.780526893
0.75,0.29,4.52481,10.64181,2211.32,0.67086,0.750713382,10.94924976,3.667562583
0.75,0.29,7.97845,12.53968,3254.92,0.76098,1.183001639,9.203285411,3.666919664
1.09,0.26,8.26476,12.15079,1831.48,0.67804,0.783678262,6.930463018,2.206353036
1.22,0.25,18.61709,24.63862,5936.91,0.92496,5.220335922,5.160374522,3.240825069
1.22,0.25,13.174,14.83912,5164.09,0.85136,2.319838906,5.434087746,3.240167493
1.09,0.26,11.08572,16.15082,4412.52,0.84478,2.108639436,4.778161621,2.206467153
1.306,0.166,4.01579,5.07535,1014.46,0.6212,0.535946923,13.44826882,-0.279841492
1.418,0.152,21.52095,24.38299,6048.85,0.93224,5.557218053,4.361550175,0.34683914
1.306,0.166,7.32218,7.81866,1603.25,0.6327,0.633389761,10.20712598,-0.279840827
0.965,0.314,7.17554,12.01787,2655.45,0.72526,0.972866096,9.858635748,3.771649687
0.75,0.29,14.84931,21.73937,4695.91,0.89686,3.222197472,3.548024997,3.669210435
0.75,0.29,4.49229,6.16997,775.622,0.49054,0.423693825,14.67750326,3.654426671
0.75,0.29,6.69067,13.16192,2147.35,0.72224,0.813497315,12.62290635,3.664676569
1.44,0.2104,14.33963,21.3709,5992.67,0.88336,3.281280181,4.094147678,1.10633223
0.75,0.29,4.51142,4.83064,376.463,0.47708,0.370176677,17.27640314,3.663442522
1.09,0.26,4.03318,4.87776,198.185,0.36024,0.209191317,20.5310227,2.206310571
1.241,0.225,5.25239,7.9765,2131.75,0.66122,0.727055613,10.80937946,-0.359023028
1.22,0.25,12.3762,14.35713,5969.08,0.8726,2.889097844,5.680227699,3.240151692
1.241,0.225,24.29533,26.33592,3771.56,0.84766,2.19596485,4.773068662,-0.359022906
1.241,0.225,14.76215,18.12098,5244.63,0.87216,2.68659475,4.111399782,-0.359022854
0.75,0.29,34.10503,38.48573,3921.47,0.94836,5.842713243,4.389717597,3.672698923
1.306,0.166,10.29123,16.0053,2816.72,0.79628,1.217026883,7.831628594,-0.279842002
1.418,0.152,11.07547,15.57526,5817.86,0.87124,2.927248842,6.206673667,0.346837171
1.418,0.152,4.15589,5.06142,410.056,0.44294,0.331108204,17.46300028,0.346836808
1.418,0.152,7.04787,7.1779,1294.2,0.59806,0.526911183,11.214118,0.346840749
1.306,0.166,16.98563,20.63761,4930.43,0.8913,2.963275728,5.081973299,-0.27984148
1.241,0.225,12.73568,15.45175,5124.83,0.8716,2.620486456,3.915875507,-0.359022762
1.22,0.25,4.29629,6.02864,1318.64,0.60574,0.535002031,11.74060851,3.238863626
1.418,0.152,4.20229,5.16583,602.813,0.51252,0.439463575,15.83777666,0.346826507
0.75,0.29,5.33137,9.42428,2244.08,0.6717,0.7697147,9.402935225,3.658115345
1.22,0.25,12.77851,17.54902,6017.87,0.88826,3.378082358,3.636653576,3.240408088
1.418,0.152,12.53223,15.50198,3417.78,0.80148,1.649403915,6.434277343,0.346835604
0.965,0.314,4.88169,5.99991,1468.41,0.61502,0.556765614,11.56802312,3.757097807
1.33,0.104,6.30977,7.91316,1470.27,0.64896,0.522566774,8.508545953,1.202050212
1.418,0.152,21.80729,25.18474,6474.04,0.92264,5.070955119,2.672954259,0.34683876
1.306,0.166,6.36998,8.09188,2057.4,0.65232,0.753964172,12.48079928,-0.279841783
1.418,0.152,20.16294,22.24101,5424.45,0.8811,3.095706556,4.05372232,0.346838055
1.241,0.225,29.66803,31.64393,4054.58,0.87544,2.875574826,7.295241611,-0.359022654
1.306,0.166,11.17828,12.20276,1798.43,0.71436,0.764480078,10.01837737,-0.27984176
1.22,0.25,6.61211,9.67481,2783.32,0.7229,0.928926639,7.763684394,3.237078611
1.44,0.2104,5.71555,6.38354,1665.64,0.64902,0.557898447,10.37755732,1.10634509
1.418,0.152,6.63983,13.19327,2182.23,0.72302,0.820668935,12.10976973,0.346836271
1.241,0.225,18.05942,25.07794,5557.04,0.90716,4.101492915,3.856235195,-0.359022469
1.241,0.225,4.41962,5.63215,3266.68,0.6922,0.975459898,11.47807584,-0.359022784
1.418,0.152,3.65933,5.43724,766.352,0.53672,0.439369009,12.16143856,0.346831572
0.965,0.314,5.66439,10.32083,5098.1,0.77,1.382539779,8.449829763,3.783885635
1.09,0.26,12.79396,15.61163,4376.09,0.85824,2.199160555,6.280764637,2.206410459
1.33,0.104,19.2309,22.50817,4550.9,0.91574,3.400129955,3.692427844,1.202056913
1.09,0.26,6.69089,10.86494,2454.07,0.7228,0.893735935,12.838944,2.206494332
1.09,0.26,17.44625,21.1683,5044.23,0.90218,3.524677588,3.602722991,2.206597269
0.75,0.29,34.30355,36.6978,3932.18,0.8898,3.099776,4.576030857,3.66980712
0.965,0.314,14.61122,19.13894,4238.95,0.85958,2.496761338,4.703809417,3.782490953
1.418,0.152,4.40385,5.61357,2166.37,0.69134,0.648500084,7.536274457,0.346830311
0.75,0.29,9.81815,12.33968,4898.03,0.82644,1.906110606,7.502754344,3.666709871
1.306,0.166,9.89743,11.20845,1256.49,0.64212,0.544681862,8.976796754,-0.279841266
0.75,0.29,3.76789,6.48006,949.39,0.54878,0.430942958,14.37075017,3.649612895
1.33,0.104,31.42322,33.65842,2885.02,0.8805,2.247084915,4.750161868,1.202053373
1.09,0.26,3.95118,4.8017,1104.5,0.5692,0.557902475,13.35761335,2.20611257
