PLD,LCD,ASA,Porosity,Density,Pore volume,Qst N2,log_P_0(N2),log_P(N2)
10.19883,10.32219,1419.53,0.65654,0.893387,0.734888688,9.242828765,-9.150450679,5.25794274
10.23127,10.36311,1409.99,0.6572,0.890303,0.738175655,9.059640975,-9.195561543,5.16450727
10.2098,10.32563,921.145,0.6122,1.16569,0.52518251,8.006177708,-9.037411551,5.437850196
9.78954,9.9082,1055.67,0.6064,1.03173,0.587750671,7.914973357,-9.242232655,5.118449458
9.63706,9.77409,1141.74,0.59722,0.990438,0.60298575,9.212354863,-9.095056622,5.417758728
9.89092,10.03622,1208.74,0.6104,0.960732,0.63534888,9.290683217,-9.152003532,5.291770321
5.16047,6.75364,2935.51,0.6548,0.798706,0.819826069,12.21284991,-8.701514732,5.602240046
5.02845,6.64209,2823.58,0.65108,0.808218,0.805574734,12.45962462,-8.760128265,5.586266551
5.44633,7.19383,3056.13,0.67,0.766283,0.874350599,11.46811302,-8.728074949,5.60992658
5.16957,6.75186,2939.45,0.65506,0.798706,0.820151595,12.20956676,-8.686206707,5.596380903
6.03558,10.21454,2563.33,0.68238,0.764371,0.892734026,9.847775164,-9.066394619,5.26607589
5.96794,8.00306,3061.76,0.68974,0.730038,0.944800134,10.08977017,-8.83138062,5.472993038
7.20236,7.55271,545.57,0.44976,1.44288,0.311709914,11.82664132,-9.249250122,5.332351459
10.44621,10.53908,645.574,0.5418,1.07568,0.503681392,9.319974908,-9.356990222,5.035584005
4.09504,5.33845,174.546,0.60088,1.50799,0.398464181,16.76180305,-10.33563266,4.198451125
9.65919,15.53135,1705.48,0.73432,0.735216,0.998781311,8.43313079,-9.10387215,5.295190275
4.72091,7.75357,1299.21,0.55784,1.06732,0.522654874,14.31318335,-9.28844859,5.147252912
8.62307,10.48182,1495.06,0.61722,0.830424,0.743258865,8.921292141,-9.405362058,4.871943389
8.19038,10.02152,1497.27,0.60982,0.84668,0.7202485,9.187574922,-9.411414184,4.691992763
8.28637,10.23635,3308.72,0.7734,0.717556,1.077825285,4.670053844,-9.177835775,5.14345376
7.89385,9.01955,3220.74,0.77522,0.713962,1.085800085,4.282370888,-9.164953225,5.208544442
5.82599,6.17717,4176.69,0.70416,0.749009,0.940122215,10.97434161,-8.438026464,5.823382818
6.15688,9.97626,2854.51,0.73308,0.782835,0.936442545,9.205633026,-9.014174788,5.368788202
4.74798,5.61731,1045.48,0.54568,1.17978,0.462526912,12.20537055,-9.603144638,4.941346731
5.12647,14.73899,2592.56,0.71414,0.739806,0.965307121,8.6350882,-9.255737164,5.12418436
9.90606,13.79678,3776.02,0.8154,0.543859,1.49928566,6.391909263,-8.813720383,5.345795088
10.18096,11.98539,4102.78,0.77866,0.581652,1.338704242,8.930943957,-8.785478113,5.475577048
20.98793,21.72315,4580.18,0.89992,0.308304,2.918937153,3.99983219,-8.651603348,5.306702967
10.23686,21.31368,3650.11,0.78646,0.503862,1.560863887,9.003874718,-8.978164609,5.161743388
10.09364,21.10286,3623.14,0.78424,0.511736,1.53250895,9.203427018,-8.939039806,5.179601838
9.52705,21.88013,3907.44,0.79112,0.471575,1.677612257,8.447224955,-8.895804987,5.215152154
5.75458,7.36646,1405.71,0.59344,1.07595,0.551549793,9.829094354,-9.366652092,5.081177511
16.92881,18.61448,4498.68,0.83828,0.43749,1.916112368,5.899771372,-8.764442616,5.275129764
4.6855,5.54904,344.133,0.4217,1.2621,0.334125664,13.82488758,-9.397974196,5.15664241
4.86094,6.48832,816.468,0.51428,1.33798,0.384370469,12.76815598,-9.105391043,5.38058481
4.74657,6.37536,775.425,0.5131,1.3786,0.372189177,13.57721126,-9.083376984,5.407964592
7.50799,8.31867,1042.15,0.5793,1.3283,0.436121358,11.36606911,-9.61084541,4.952122387
6.38588,6.55466,655.426,0.53696,1.38595,0.387431004,11.50250803,-9.431150697,5.227473313
5.70379,7.95789,1708.74,0.61892,1.02105,0.606160325,10.46682783,-9.076595862,5.409125991
7.16704,7.9618,973.163,0.56886,1.42154,0.400171645,11.03294964,-9.674734953,4.986983512
6.80286,8.39634,1923.66,0.64358,0.891254,0.722106156,12.79513498,-9.111360551,5.239612028
6.8904,8.30709,1894.26,0.64216,0.897695,0.715343184,12.81067766,-9.163092506,5.25134082
6.3971,8.11197,2096.97,0.65336,0.849879,0.76876826,12.35116276,-9.084332596,5.270339085
6.47185,8.33004,2086.19,0.65498,0.855248,0.765836342,12.33798519,-9.088529476,5.26468658
6.36998,8.09188,2057.4,0.65232,0.865187,0.753964172,12.48079928,-9.079794369,5.284805766
6.66,13.15,2177.31,0.72,0.89,0.808988764,12.25276811,-9.166188259,5.157971808
4.49353,7.07757,989.762,0.54344,1.32957,0.408733651,9.719324652,-9.569137562,5.017325724
5.10301,7.91374,1994.19,0.64696,0.900168,0.718710285,11.6658975,-9.205818201,5.138426959
4.28567,5.96735,1013,0.53236,1.1236,0.473798505,13.72040376,-9.110823319,5.314719397
5.02673,6.20221,2051.65,0.63816,0.856325,0.745231075,13.44180308,-8.639848489,5.625648855
5.27399,6.55516,1959.6,0.6337,0.85763,0.738896727,13.26066673,-8.614221155,5.667892784
5.24121,6.90751,1037.8,0.57342,1.23618,0.463864486,12.80661302,-9.277870727,5.34592029
4.21234,5.96594,260.353,0.4552,1.37246,0.331667225,16.4799076,-9.43478997,4.828545864
4.22597,5.76843,735.503,0.531,1.21128,0.438379235,16.78101308,-8.226453662,5.735478239
4.61744,7.01096,1015.75,0.59098,1.0069,0.586930182,13.59146331,-9.44126784,5.062602491
9.99848,15.52711,1685.96,0.74322,0.770284,0.964864907,8.881654497,-9.10430647,5.250044806
7.81351,8.36121,1307.06,0.60632,0.894084,0.678146572,11.35023862,-9.271718023,5.139365583
10.42327,18.0621,1641.12,0.6993,0.790526,0.884600886,18.36144514,-9.294275443,4.614940838
