PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst N2,N1bar_N2
8.64841,12.48057,3204.15,0.7613,0.64221,1.185437785,50.89285714,32.14285714,2.678571429,11.60714286,0,2.678571429,8.444154736,0.367402929
8.32661,13.59793,2502.53,0.73366,0.746106,0.983318724,49.48453608,30.92783505,3.092783505,13.40206186,0,3.092783505,11.38308059,0.436952836
4.54136,8.31511,870.726,0.62074,1.19036,0.521472496,44.7761194,26.86567164,4.47761194,19.40298507,0,4.47761194,14.14323234,0.533607151
4.11181,6.0722,1071.12,0.59632,1.16455,0.512060453,25.71428571,25.71428571,34.28571429,5.714285714,4.285714286,4.285714286,12.20117541,0.279550557
3.90831,4.44036,156.183,0.40324,2.24993,0.179223354,16,18,0,48,0,10,16.2314825,0.139899573
4.32303,5.2765,619.682,0.51092,1.36723,0.373689869,50.90909091,29.09090909,2.424242424,14.54545455,0,3.03030303,14.56837619,0.318520509
4.89301,7.12611,357.969,0.42696,1.98392,0.215210291,26.96629213,33.70786517,6.741573034,26.96629213,0,5.617977528,13.77243281,0.203155367
4.85632,5.15455,288.927,0.42748,1.95651,0.218491089,46.34146341,14.63414634,0,19.51219512,14.63414634,4.87804878,13.13237323,0.114421164
9.1997,9.48255,928.923,0.5582,1.14308,0.488329776,48,30,6,12,2,2,9.191494528,0.174053158
5.31262,5.94406,1651.78,0.585,0.925851,0.631851129,50.90909091,36.36363636,3.636363636,7.272727273,0,1.818181818,13.36533583,0.715268332
3.80044,4.84557,634.174,0.49344,1.15061,0.428850783,44.94382022,40.4494382,8.988764045,4.494382022,0,1.123595506,16.57017984,0.593772359
4.38484,5.04792,636.56,0.50342,1.30477,0.385830453,35.05154639,35.05154639,8.24742268,14.43298969,0,3.092783505,15.19153167,0.482760759
14.56862,19.86541,5239.13,0.8979,0.274675,3.268954219,44.11764706,30.88235294,8.823529412,13.97058824,0,2.205882353,4.700900678,0.347211966
7.13825,18.06508,3583.27,0.78558,0.600782,1.307595767,44,24,8,20,0,4,7.911336048,0.337915708
5.01976,7.8603,1901.19,0.63848,0.979833,0.651621246,44.73684211,26.31578947,0,23.68421053,0,5.263157895,10.55269587,0.306258059
13.37911,18.75501,3444.39,0.83558,0.425946,1.961704066,49.12280702,28.07017544,7.01754386,14.03508772,0,1.754385965,4.812713127,0.215319158
3.73291,6.8318,952.744,0.53344,1.05182,0.50715902,42.45810056,37.98882682,7.82122905,10.05586592,0,1.675977654,13.29235642,0.389347348
3.71719,6.8305,939.238,0.53354,1.05415,0.506132903,42.45810056,37.98882682,7.82122905,10.05586592,0,1.675977654,13.38652791,0.396259153
6.0951,6.93247,581.981,0.45062,1.45916,0.308821514,40,24,16,16,0,4,13.31722576,0.351185156
9.17864,11.03089,1154.62,0.60242,1.00746,0.597959224,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,14.26426038,0.388398146
11.07263,11.39418,1175.97,0.6096,0.982365,0.620543281,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,14.08287348,0.383338701
9.50667,11.07211,1172.55,0.60696,0.988926,0.613756742,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,14.22537308,0.385257441
10.87494,11.21563,1159.15,0.60852,0.985981,0.617172136,44.11764706,35.29411765,5.882352941,11.76470588,0,2.941176471,14.3466186,0.385070065
