PLD,LCD,ASA,Porosity,Density,Pore volume,Qst H2,log_P_0(H2),log_P(H2)
3.94175,6.41608,692.797,0.58084,1.68088,0.345557089,4.66873565,-9.840819134,4.743360398
4.3641,6.81111,1052.63,0.61502,1.50078,0.409800237,4.154925405,-9.568530911,5.181738595
4.2994,7.85983,896.656,0.6021,1.05112,0.572817566,4.712756328,-9.686090912,4.840900069
7.33698,11.74827,1972.76,0.71176,0.9638,0.738493463,2.861602327,-8.994225615,5.427550449
11.51164,12.50781,1917.32,0.73012,0.899872,0.811359838,2.718811598,-8.895056789,5.462288027
11.17828,12.20276,1798.43,0.71436,0.934439,0.764480078,2.795030613,-8.897490763,5.557304761
6.87343,12.16451,2800.76,0.71512,0.774775,0.923003453,3.204821545,-8.92761916,5.448056656
5.4451,6.31092,645.76,0.49582,1.11362,0.445232665,4.084422711,-9.952442612,4.401687546
4.93668,5.48228,785.597,0.53086,1.18498,0.447990683,5.631531018,-9.023694857,5.647250164
4.89759,5.65614,913.914,0.55704,1.11309,0.500444708,5.330052059,-8.901540279,5.507762655
4.51467,5.44142,500.175,0.5001,1.81828,0.275040148,5.454231349,-9.063004661,5.640572103
4.88169,5.99991,1468.41,0.61502,1.10463,0.556765614,4.445936875,-9.525624752,5.064110572
4.20229,5.16583,602.813,0.51252,1.16624,0.439463575,5.945334666,-9.824316386,4.744453458
5.24025,7.13491,1971.32,0.64884,0.961266,0.674984864,3.881956679,-9.17367449,5.36464544
6.30914,7.54763,1344.47,0.61346,1.01674,0.603359758,4.010580846,-9.230751023,5.092188476
5.41267,6.44764,2206.57,0.63174,0.918977,0.687438315,4.241281991,-9.129688052,5.215664184
5.21845,6.19215,1780.51,0.62202,0.959339,0.648383939,4.878778858,-8.988675098,5.463931602
5.72948,7.70901,1552.97,0.59466,1.0049,0.591760374,4.230303868,-9.211499481,5.257753374
6.19226,7.11646,1324.79,0.57908,1.03097,0.561684627,4.496546058,-8.812510976,5.659865983
