PLD,LCD,ASA,Porosity,Density,Pore volume,Qst CO2,log_P_0(CO2),log_P(CO2)
5.44633,7.19383,3056.13,0.67,0.766283,0.874350599,20.58869925,-7.956683039,6.063837934
5.16957,6.75186,2939.45,0.65506,0.798706,0.820151595,21.36292229,-7.84866259,6.0105868
6.03558,10.21454,2563.33,0.68238,0.764371,0.892734026,17.204075,-8.473271662,5.82441934
5.96794,8.00306,3061.76,0.68974,0.730038,0.944800134,16.88037782,-8.192244017,6.0030676
7.20236,7.55271,545.57,0.44976,1.44288,0.311709914,19.98689947,-8.539753689,5.43242851
10.44621,10.53908,645.574,0.5418,1.07568,0.503681392,16.95875045,-8.920184573,5.675648718
4.09504,5.33845,174.546,0.60088,1.50799,0.398464181,27.84865315,-8.732743949,5.199682176
9.65919,15.53135,1705.48,0.73432,0.735216,0.998781311,19.62307026,-8.947247203,5.467783562
4.72091,7.75357,1299.21,0.55784,1.06732,0.522654874,29.42225967,-8.65829022,5.334460399
8.62307,10.48182,1495.06,0.61722,0.830424,0.743258865,16.71612742,-9.084073406,5.270684568
8.19038,10.02152,1497.27,0.60982,0.84668,0.7202485,18.05290058,-9.03783373,5.264067745
8.28637,10.23635,3308.72,0.7734,0.717556,1.077825285,9.982860032,-8.966669227,5.374301252
7.89385,9.01955,3220.74,0.77522,0.713962,1.085800085,8.4121071,-8.928299107,5.363768979
5.82599,6.17717,4176.69,0.70416,0.749009,0.940122215,23.98095246,-7.615432589,6.101088987
6.15688,9.97626,2854.51,0.73308,0.782835,0.936442545,18.52344081,-8.381122571,5.9756764
4.74798,5.61731,1045.48,0.54568,1.17978,0.462526912,19.98982231,-8.975904029,5.322012342
5.12647,14.73899,2592.56,0.71414,0.739806,0.965307121,15.52206585,-8.632010094,5.671541176
9.90606,13.79678,3776.02,0.8154,0.543859,1.49928566,14.86298026,-8.408239771,5.763056136
10.18096,11.98539,4102.78,0.77866,0.581652,1.338704242,17.57559555,-8.255069078,5.91862812
20.98793,21.72315,4580.18,0.89992,0.308304,2.918937153,27.89090754,-8.21726394,5.34488159
10.23686,21.31368,3650.11,0.78646,0.503862,1.560863887,18.15200924,-8.591658722,5.61181419
10.09364,21.10286,3623.14,0.78424,0.511736,1.53250895,18.10099133,-8.710834388,5.509722559
9.52705,21.88013,3907.44,0.79112,0.471575,1.677612257,17.15363076,-8.500432309,5.641014773
5.75458,7.36646,1405.71,0.59344,1.07595,0.551549793,17.76975221,-8.758859132,5.610513909
16.92881,18.61448,4498.68,0.83828,0.43749,1.916112368,13.10115678,-8.521853467,5.635951277
4.6855,5.54904,344.133,0.4217,1.2621,0.334125664,26.71909149,-8.378649689,5.305676303
4.86094,6.48832,816.468,0.51428,1.33798,0.384370469,25.02594836,-8.196368243,5.345667458
4.74657,6.37536,775.425,0.5131,1.3786,0.372189177,32.58357918,-8.044882792,5.013969614
7.50799,8.31867,1042.15,0.5793,1.3283,0.436121358,47.2973392,-9.241124677,5.31627498
6.38588,6.55466,655.426,0.53696,1.38595,0.387431004,18.82127136,-8.513981314,5.544707445
5.70379,7.95789,1708.74,0.61892,1.02105,0.606160325,22.75657565,-8.19069307,5.908296675
7.16704,7.9618,973.163,0.56886,1.42154,0.400171645,39.12684307,-9.042474109,5.198934759
6.80286,8.39634,1923.66,0.64358,0.891254,0.722106156,26.55270999,-8.537860345,5.704329817
6.8904,8.30709,1894.26,0.64216,0.897695,0.715343184,26.73223572,-8.534442438,5.712671845
6.3971,8.11197,2096.97,0.65336,0.849879,0.76876826,23.87515362,-8.403713825,5.719881118
6.47185,8.33004,2086.19,0.65498,0.855248,0.765836342,23.79587319,-8.383087947,5.757351275
6.36998,8.09188,2057.4,0.65232,0.865187,0.753964172,24.11457799,-8.369357873,5.756075917
6.66,13.15,2177.31,0.72,0.89,0.808988764,24.28708292,-8.643018714,5.86517997
4.49353,7.07757,989.762,0.54344,1.32957,0.408733651,20.24206966,-8.762887858,5.506648609
5.10301,7.91374,1994.19,0.64696,0.900168,0.718710285,21.9676788,-8.497144935,5.733206381
4.28567,5.96735,1013,0.53236,1.1236,0.473798505,24.49118347,-8.226408921,5.278312
5.02673,6.20221,2051.65,0.63816,0.856325,0.745231075,23.7041305,-7.739293509,5.883974403
5.27399,6.55516,1959.6,0.6337,0.85763,0.738896727,23.9392286,-7.800184594,5.882930387
5.24121,6.90751,1037.8,0.57342,1.23618,0.463864486,24.54600089,-8.190010543,5.751678052
4.21234,5.96594,260.353,0.4552,1.37246,0.331667225,28.81152386,-8.863924749,4.743080712
