PLD,LCD,LCD/PLD,ASA,Porosity,Pore volume,Qst CH4,N1bar_CH4,log_D0_CH4,log_D1bar_CH4
6.03558,10.21454,1.692387476,2563.33,0.68238,0.892734026,13.30307223,1.287976082,-3.765980259,-3.797971261
5.96794,8.00306,1.34100879,3061.76,0.68974,0.944800134,13.51714823,1.78364087,-3.589471852,-3.665115385
7.20236,7.55271,1.048643778,545.57,0.44976,0.311709914,15.70837971,0.807547819,-3.596406762,-3.896919573
10.44621,10.53908,1.008890306,645.574,0.5418,0.503681392,13.25449909,0.303458216,-3.557689233,-3.529645806
4.09504,5.33845,1.30363806,174.546,0.60088,0.398464181,22.13679653,1.006495398,-5.138526332,-5.340194676
9.65919,15.53135,1.607935034,1705.48,0.73432,0.998781311,11.88558501,0.70406095,-3.842888072,-4.094610037
4.72091,7.75357,1.642388861,1299.21,0.55784,0.522654874,19.34587044,1.583271892,-4.357678449,-4.348929566
8.28637,10.23635,1.235323791,3308.72,0.7734,1.077825285,6.230867542,0.199881065,-3.236587986,-3.268746015
7.89385,9.01955,1.142604686,3220.74,0.77522,1.085800085,5.587440673,0.185211056,-3.144380813,-3.220702321
5.82599,6.17717,1.060278167,4176.69,0.70416,0.940122215,13.827204,1.842282684,-3.236024642,-3.313782758
6.15688,9.97626,1.620343421,2854.51,0.73308,0.936442545,12.66638005,0.993980688,-3.612171801,-3.639538361
4.74798,5.61731,1.183094706,1045.48,0.54568,0.462526912,16.53100954,0.998094361,-3.969851084,-4.122553815
5.12647,14.73899,2.875075832,2592.56,0.71414,0.965307121,11.58071618,0.95477888,-3.700883241,-3.771219416
9.90606,13.79678,1.392761602,3776.02,0.8154,1.49928566,8.611043261,0.610137205,-3.317930721,-3.30953432
10.18096,11.98539,1.177235742,4102.78,0.77866,1.338704242,12.45143065,1.241314756,-3.491404743,-3.488911402
20.98793,21.72315,1.03503061,4580.18,0.89992,2.918937153,5.751460168,0.369676446,-3.10492563,-3.043804385
10.23686,21.31368,2.082052504,3650.11,0.78646,1.560863887,12.95254286,1.152751191,-3.771994022,-3.726848203
10.09364,21.10286,2.090708605,3623.14,0.78424,1.53250895,13.21798721,1.22530884,-3.816654347,-3.742633226
9.52705,21.88013,2.296632221,3907.44,0.79112,1.677612257,12.22839881,1.103489432,-3.746529497,-3.688183637
5.75458,7.36646,1.280103848,1405.71,0.59344,0.551549793,13.35821745,0.661458513,-3.76255446,-3.78647882
16.92881,18.61448,1.09957404,4498.68,0.83828,1.916112368,8.358808668,0.580254562,-3.282325588,-3.248886457
4.86094,6.48832,1.334787099,816.468,0.51428,0.384370469,16.69527333,1.125917551,-3.5673637,-3.922855599
