PLD,LCD,ASA,Porosity,Density,Pore volume,C%,H%,N%,O%,Halogen%,Metal%,Qst CO2,N1bar_CO2
4.07573,5.65344,1053.2,0.62164,1.00727,0.617153296,51.61290323,19.35483871,0,25.80645161,0,3.225806452,23.8374881,6.532076423
11.06312,12.00094,993.47,0.5942,0.965457,0.615459829,49.18032787,29.50819672,3.278688525,6.557377049,9.836065574,1.639344262,29.86738053,4.348834208
4.06272,5.40727,791.432,0.50734,1.31041,0.38716127,37.20930233,32.55813953,18.60465116,6.976744186,0,2.325581395,25.09082261,3.552443104
3.80274,4.93858,458.737,0.48374,1.49581,0.323396688,37.93103448,31.03448276,18.3908046,6.896551724,0,3.448275862,26.36775625,2.400775114
5.37606,5.6853,1420.93,0.60772,1.07587,0.564863785,47.61904762,9.523809524,0,38.0952381,0,4.761904762,18.07880448,3.009316054
5.13016,6.30636,1365.99,0.6208,1.10057,0.564071345,47.61904762,9.523809524,0,38.0952381,0,4.761904762,18.06682129,2.899580903
6.30843,7.60741,2136.04,0.66196,0.861714,0.76818991,53.33333333,31.11111111,4.444444444,8.888888889,0,2.222222222,17.60616376,3.708345212
9.80847,15.56875,1591.32,0.71824,0.777237,0.924093938,34.50980392,28.23529412,31.37254902,0,1.176470588,4.705882353,20.8331126,3.637151221
5.59471,9.38154,1604.12,0.68288,1.04219,0.65523561,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,22.88351681,4.097158341
10.59979,11.41407,1224.38,0.64844,1.19971,0.540497287,44.44444444,11.11111111,0,33.33333333,0,11.11111111,25.46994035,6.044080637
10.7235,11.51533,1224.91,0.65144,1.1988,0.543410077,44.44444444,11.11111111,0,33.33333333,0,11.11111111,25.75933592,6.353835708
5.62446,9.38408,1646.23,0.68264,1.03958,0.656649801,37.87878788,22.72727273,15.15151515,15.15151515,0,9.090909091,22.73818466,4.03434874
10.54479,11.3608,1223.85,0.64786,1.19943,0.5401399,44.44444444,11.11111111,0,33.33333333,0,11.11111111,24.97272705,5.828144542
5.3868,5.98273,1847.56,0.6472,1.18176,0.547657731,46.15384615,19.23076923,5.769230769,23.07692308,0,5.769230769,18.33318363,3.855124057
4.26368,5.82193,729.385,0.50118,1.16598,0.429835846,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,28.57724398,4.186233618
4.05664,5.44423,634.137,0.49082,1.19946,0.409200807,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,29.97785097,4.096166602
4.25745,5.78749,712.146,0.50502,1.1858,0.425889695,51.28205128,30.76923077,5.128205128,10.25641026,0,2.564102564,28.61331294,4.076402536
4.30595,6.18036,1065.24,0.58002,1.16997,0.495756301,46.47887324,33.8028169,0,16.90140845,0,2.816901408,24.9506172,4.787492092
5.15676,8.28593,2399.39,0.68804,0.856166,0.803629203,46.47887324,33.8028169,0,16.90140845,0,2.816901408,20.17962274,2.96662433
5.0837,6.42024,468.517,0.45748,1.7783,0.257256931,43.47826087,8.695652174,0,39.13043478,0,8.695652174,21.70002745,1.563617385
