PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KN2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,N2-1 bar (mol/kg)
20.97,28.503,4983.02,0.918,3.51E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.347
34.716,46.52,7975.16,0.966,8.00E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.798
32.71,45.067,7359.79,0.96,7.12E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.708
34.138,46.275,7809.81,0.965,7.74E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.776
8.697,16.439,5618.68,0.844,2.84E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.279
8.949,16.56,6119.57,0.842,3.65E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.364
8.469,15.111,5258.04,0.836,2.74E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.274
16.295,27.924,7909.77,0.929,4.91E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.487
15.388,29.075,7145.18,0.916,4.63E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.468
16.952,24.876,7817.32,0.928,4.90E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.492
31.325,45.068,7588.71,0.97,8.04E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.798
9.422,14.922,4865.45,0.801,4.44E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.439
9.91,15.602,5163.49,0.817,4.08E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.402
11.042,16.084,6834.39,0.878,3.76E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.375
12.341,16.549,6319.93,0.881,3.58E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.356
11.429,17.033,5952.14,0.877,3.40E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.339
11.571,16.185,5635.2,0.874,3.24E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.327
12.918,15.473,6149,0.879,3.38E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.335
11.864,15.251,5810.15,0.871,3.24E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.324
12.577,15.047,5157.42,0.869,2.97E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.296
11.142,15.032,6369.79,0.872,3.55E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.346
11.744,16.485,6036.53,0.878,3.37E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.338
11.323,16.898,5769.86,0.874,3.22E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.324
11.506,16.118,5413.26,0.87,3.08E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.309
12.134,15.013,5735.03,0.873,3.20E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.317
12.275,15.887,5467.92,0.871,3.08E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.31
11.696,15.332,5309.73,0.868,2.93E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.291
11.714,15.212,5022.88,0.865,2.82E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.282
20.726,27.366,7945.32,0.944,5.58E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.555
21.475,26.403,7773.37,0.943,5.51E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.553
19.661,27.796,7639.83,0.943,5.46E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.543
21.074,26.74,7545.16,0.939,5.36E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.532
20.253,26.014,7628.25,0.939,5.34E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.532
20.738,25.01,7446.36,0.936,5.20E-06,61.53846154,30.76923077,7.692307692,0,0,0,0.518
18.701,25.643,7320.83,0.934,5.13E-06,62.5,30,7.5,0,0,0,0.509
18.855,26.084,7262.46,0.933,5.19E-06,63.41463415,29.26829268,7.317073171,0,0,0,0.515
20.096,27.172,7765.24,0.943,5.47E-06,59.45945946,32.43243243,8.108108108,0,0,0,0.543
