PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KH2 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,H2-1 bar (mol/kg)
22.815,22.963,1678.58,0.666,5.20E-07,58.33333333,33.33333333,8.333333333,0,0,0,0.051
19.957,20.047,1245.94,0.587,3.39E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.034
41.164,41.214,1792.97,0.772,7.46E-07,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.075
15.082,15.329,1098.49,0.577,3.49E-07,57.14285714,28.57142857,14.28571429,0,0,0,0.035
15.676,15.871,911.73,0.606,3.54E-07,57.14285714,0,14.28571429,0,0,0.285714286,0.035
24.331,24.423,1316.59,0.635,4.13E-07,64.28571429,28.57142857,7.142857143,0,0,0,0.042
9.877,16.591,4555.12,0.808,1.20E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.119
8.753,16.406,4069.56,0.787,1.10E-06,62.5,30,7.5,0,0,0,0.109
11.553,15.592,5422.51,0.867,1.38E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.136
16.784,18.199,5444.59,0.874,1.45E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.144
18.48,19.568,5597.6,0.868,1.41E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.141
14.558,16.838,5131.47,0.868,1.27E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.128
22.728,25.062,7950.65,0.942,3.82E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.378
31.672,32.012,7615.21,0.942,3.73E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.373
19.861,21.92,7690.6,0.932,3.26E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.325
30.37,30.787,7427.89,0.938,3.49E-06,62.5,30,7.5,0,0,0,0.352
17.648,20.795,7553.82,0.927,3.07E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.307
16.722,19.521,7352.35,0.918,2.73E-06,62.5,30,7.5,0,0,0,0.273
35.806,41.87,7125.22,0.954,4.42E-06,58.33333333,31.25,10.41666667,0,0,0,0.438
32.87,41.881,7171,0.954,4.37E-06,58.33333333,31.25,10.41666667,0,0,0,0.429
28.619,34.85,5968.36,0.945,3.36E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.337
29.16,36.517,5378.9,0.942,2.93E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.291
26.088,32.957,5944.69,0.939,3.14E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.314
29.414,36.171,5501.21,0.942,2.97E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.295
26.35,33.332,5425.41,0.935,2.74E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.272
29.33,36.803,5028.97,0.938,2.64E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.261
42.208,52.54,7320.93,0.968,6.64E-06,62.5,30,7.5,0,0,0,0.655
40.538,51.79,7210.38,0.968,6.51E-06,62.5,30,7.5,0,0,0,0.637
40.5,51.581,7008.86,0.965,6.06E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.593
8.391,16.452,4963.62,0.802,1.25E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.123
8.947,17.648,5235.63,0.819,1.33E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.133
15.008,17.345,6662.58,0.865,1.72E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.17
14.663,17.944,5975.91,0.861,1.48E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.148
14.575,19.983,5913.55,0.869,1.56E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.155
13.289,19.31,5387.45,0.865,1.40E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.141
15.245,18.887,5756.56,0.867,1.55E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.155
14.495,17.552,5441.81,0.859,1.33E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.131
12.225,20.569,5437,0.871,1.45E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.144
12.227,19.198,5051.36,0.865,1.29E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.128
22.537,33.151,7998.04,0.944,3.97E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.396
22.24,32.913,7664.45,0.94,3.66E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.368
22.599,30.831,7726.08,0.937,3.54E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.35
22.35,30.435,7471.15,0.934,3.28E-06,62.5,30,7.5,0,0,0,0.33
24.485,28.86,7542.75,0.932,3.28E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.329
24.133,28.718,7247.14,0.928,3.04E-06,62.5,30,7.5,0,0,0,0.306
24.4,26.965,7290.65,0.925,2.92E-06,62.5,30,7.5,0,0,0,0.292
24.105,26.832,7027.99,0.92,2.72E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.271
21.069,31.151,6126.46,0.928,2.72E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.275
11.474,16.901,6837.11,0.884,1.93E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.192
10.326,14.695,6012.45,0.873,1.59E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.159
11.312,16.976,6182.25,0.876,1.61E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.161
