PLD (Å),LCD (Å),Sacc (m2/g),Porosity,KCH4 (mol/kg/Pa),%C,%H,%N,%O,%Metalloid,%Halogen,CH4-1 bar (mol/kg)
26.088,32.957,5944.69,0.939,7.60E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.729
29.414,36.171,5501.21,0.942,7.19E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.678
26.35,33.332,5425.41,0.935,6.47E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.62
29.33,36.803,5028.97,0.938,6.90E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.638
42.208,52.54,7320.93,0.968,1.07E-05,62.5,30,7.5,0,0,0,1.055
40.538,51.79,7210.38,0.968,1.08E-05,62.5,30,7.5,0,0,0,1.058
40.5,51.581,7008.86,0.965,1.05E-05,64.28571429,28.57142857,7.142857143,0,0,0,1.041
8.391,16.452,4963.62,0.802,8.21E-06,59.18367347,32.65306122,8.163265306,0,0,0,0.826
8.947,17.648,5235.63,0.819,7.24E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.721
15.008,17.345,6662.58,0.865,6.94E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.685
14.663,17.944,5975.91,0.861,5.87E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.574
14.575,19.983,5913.55,0.869,5.65E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.566
13.289,19.31,5387.45,0.865,4.96E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.5
15.245,18.887,5756.56,0.867,5.74E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.578
14.495,17.552,5441.81,0.859,4.88E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.489
12.225,20.569,5437,0.871,4.86E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.484
12.227,19.198,5051.36,0.865,4.49E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.447
22.537,33.151,7998.04,0.944,7.36E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.732
22.24,32.913,7664.45,0.94,7.28E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.727
22.599,30.831,7726.08,0.937,7.20E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.721
22.35,30.435,7471.15,0.934,7.17E-06,62.5,30,7.5,0,0,0,0.721
24.485,28.86,7542.75,0.932,7.05E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.705
24.133,28.718,7247.14,0.928,7.06E-06,62.5,30,7.5,0,0,0,0.708
24.4,26.965,7290.65,0.925,7.03E-06,62.5,30,7.5,0,0,0,0.701
24.105,26.832,7027.99,0.92,7.09E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.708
21.069,31.151,6126.46,0.928,6.32E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.634
11.474,16.901,6837.11,0.884,5.98E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.596
10.326,14.695,6012.45,0.873,5.37E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.538
11.312,16.976,6182.25,0.876,5.28E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.531
10.333,14.637,5450.44,0.866,4.86E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.487
12.274,17.441,6022.77,0.88,5.61E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.558
10.58,17.029,5394.55,0.866,5.00E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.499
12.122,17.832,5541.44,0.872,5.01E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.499
11.126,17.022,5020.57,0.862,4.65E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.466
18.491,27.101,7855.52,0.941,7.28E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.738
19.632,28.306,7634.54,0.941,7.47E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.755
18.237,28.057,7553.85,0.938,7.24E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.72
19.037,28.414,7415.17,0.937,7.40E-06,62.5,30,7.5,0,0,0,0.745
17.763,26.988,7571.33,0.937,7.17E-06,60.52631579,31.57894737,7.894736842,0,0,0,0.722
15.508,27.76,7413.7,0.929,7.06E-06,62.5,30,7.5,0,0,0,0.702
17.58,26.029,7279.86,0.932,7.17E-06,62.5,30,7.5,0,0,0,0.716
18.12,26.518,7162.66,0.932,7.36E-06,64.28571429,28.57142857,7.142857143,0,0,0,0.73
34.115,50.181,6924.62,0.961,8.33E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.824
21.265,28.251,6477.28,0.928,6.28E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.627
19.949,28.285,5363.61,0.92,5.38E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.539
20.11,28.77,6437.51,0.926,6.53E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.652
20.97,28.503,4983.02,0.918,5.19E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.516
34.716,46.52,7975.16,0.966,9.73E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.981
32.71,45.067,7359.79,0.96,9.38E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.938
34.138,46.275,7809.81,0.965,9.57E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.957
8.697,16.439,5618.68,0.844,4.82E-06,57.14285714,5.714285714,14.28571429,0,0,0.228571429,0.482
8.949,16.56,6119.57,0.842,6.53E-06,57.14285714,22.85714286,14.28571429,0,0,0.057142857,0.652
8.469,15.111,5258.04,0.836,4.73E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.469
16.295,27.924,7909.77,0.929,6.71E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.671
15.388,29.075,7145.18,0.916,6.90E-06,63.23529412,29.41176471,7.352941176,0,0,0,0.684
16.952,24.876,7817.32,0.928,6.81E-06,59.67741935,32.25806452,8.064516129,0,0,0,0.68
31.325,45.068,7588.71,0.97,9.59E-06,57.14285714,23.80952381,9.523809524,9.523809524,0,0,0.961
9.422,14.922,4865.45,0.801,1.04E-05,59.18367347,32.65306122,8.163265306,0,0,0,1.025
9.91,15.602,5163.49,0.817,8.67E-06,57.14285714,32.65306122,8.163265306,0,0.020408163,0,0.858
11.042,16.084,6834.39,0.878,6.05E-06,57.14285714,28.57142857,14.28571429,0,0,0,0.611
12.341,16.549,6319.93,0.881,5.67E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.573
11.429,17.033,5952.14,0.877,5.40E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.535
11.571,16.185,5635.2,0.874,5.14E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.514
12.918,15.473,6149,0.879,5.41E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.542
11.864,15.251,5810.15,0.871,5.33E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.532
12.577,15.047,5157.42,0.869,4.81E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.48
11.142,15.032,6369.79,0.872,5.80E-06,57.14285714,23.80952381,14.28571429,0,0,0.047619048,0.581
11.744,16.485,6036.53,0.878,5.34E-06,57.14285714,19.04761905,14.28571429,0,0,0.095238095,0.537
11.323,16.898,5769.86,0.874,5.11E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.514
11.506,16.118,5413.26,0.87,4.89E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.49
12.134,15.013,5735.03,0.873,5.13E-06,57.14285714,14.28571429,14.28571429,0,0,0.142857143,0.501
12.275,15.887,5467.92,0.871,4.98E-06,57.14285714,9.523809524,14.28571429,0,0,0.19047619,0.493
11.696,15.332,5309.73,0.868,4.70E-06,57.14285714,4.761904762,14.28571429,0,0,0.238095238,0.466
11.714,15.212,5022.88,0.865,4.56E-06,57.14285714,0,14.28571429,0,0,0.285714286,0.455
20.726,27.366,7945.32,0.944,7.32E-06,58.33333333,33.33333333,8.333333333,0,0,0,0.731
